trapid	cayoid	age	sex	PC1	PC2
T19075	7K8	8.92	f	-0.508935819	0.274024575
T19026	7P0	6.92	m	-0.103166521	1.523239579
T19026	7P0	6.92	m	-0.103166521	1.523239579
T19026	7P0	6.92	m	-0.103166521	1.523239579
T19026	7P0	6.92	m	-0.103166521	1.523239579
T19013	7S3	16.75	m	3.622285891	-0.288726629
T19013	7S3	16.75	m	3.622285891	-0.288726629
T19013	7S3	16.75	m	3.622285891	-0.288726629
T19013	7S3	16.75	m	3.622285891	-0.288726629
T19034	82L	19.5	f	1.280903473	3.942840498
T19034	82L	19.5	f	1.280903473	3.942840498
T19034	82L	19.5	f	1.280903473	3.942840498
T19034	82L	19.5	f	1.280903473	3.942840498
T19025	8C0	12.83	m	-0.655309034	1.032563539
T19025	8C0	12.83	m	-0.655309034	1.032563539
T19025	8C0	12.83	m	-0.655309034	1.032563539
T19025	8C0	12.83	m	-0.655309034	1.032563539
T19043	8D2	12.58	m	3.109325849	0.47902934
T19043	8D2	12.58	m	3.109325849	0.47902934
T19043	8D2	12.58	m	3.109325849	0.47902934
T19043	8D2	12.58	m	3.109325849	0.47902934
T19061	8H0	10.83	m	2.482122945	-1.607696433
T19061	8H0	10.83	m	2.482122945	-1.607696433
T19061	8H0	10.83	m	2.482122945	-1.607696433
T19061	8H0	10.83	m	2.482122945	-1.607696433
T19069	8K1	8.83	m	-1.822665908	0.611863524
T19069	8K1	8.83	m	-1.822665908	0.611863524
T19038	8P8	6.92	f	0.039417567	0.516423664
T19038	8P8	6.92	f	0.039417567	0.516423664
T19038	8P8	6.92	f	0.039417567	0.516423664
T19038	8P8	6.92	f	0.039417567	0.516423664
T19066	8R5	5.83	f	-0.202466326	2.787811737
T19066	8R5	5.83	f	-0.202466326	2.787811737
T19066	8R5	5.83	f	-0.202466326	2.787811737
T19066	8R5	5.83	f	-0.202466326	2.787811737
T19032	96B	25.58	m	-0.607975086	-0.743826147
T19032	96B	25.58	m	-0.607975086	-0.743826147
T19036	98T	15.58	f	1.700855788	-0.452790978
T19036	98T	15.58	f	1.700855788	-0.452790978
T19036	98T	15.58	f	1.700855788	-0.452790978
T19036	98T	15.58	f	1.700855788	-0.452790978
T19074	9C1	12.83	f	0.648283079	2.106852179
T19074	9C1	12.83	f	0.648283079	2.106852179
T19074	9C1	12.83	f	0.648283079	2.106852179
T19074	9C1	12.83	f	0.648283079	2.106852179
T19010	9D1	12.83	m	-2.581157569	3.906611623
T19010	9D1	12.83	m	-2.581157569	3.906611623
T19010	9D1	12.83	m	-2.581157569	3.906611623
T19010	9D1	12.83	m	-2.581157569	3.906611623
T19041	9D8	12.83	f	-0.874951554	-0.214817107
T19041	9D8	12.83	f	-0.874951554	-0.214817107
T19041	9D8	12.83	f	-0.874951554	-0.214817107
T19049	9H7	10.83	f	2.302663767	-0.054332148
T19049	9H7	10.83	f	2.302663767	-0.054332148
T19049	9H7	10.83	f	2.302663767	-0.054332148
T19049	9H7	10.83	f	2.302663767	-0.054332148
T19096	04T	16.75	m	0.143115074	1.278889423
T19096	04T	16.75	m	0.143115074	1.278889423
T19096	04T	16.75	m	0.143115074	1.278889423
T19098	33T	16.67	m	-0.255731436	-0.010301667
T19098	33T	16.67	m	-0.255731436	-0.010301667
T19098	33T	16.67	m	-0.255731436	-0.010301667
T19029	40L	19.67	f	-0.302486652	3.781356562
T19097	6B8	13.75	m	-0.51081514	0.603553624
T19097	6B8	13.75	m	-0.51081514	0.603553624
T19097	6B8	13.75	m	-0.51081514	0.603553624
T19092	8N3	7.83	f	-1.363093353	0.684341561
T19092	8N3	7.83	f	-1.363093353	0.684341561
T19092	8N3	7.83	f	-1.363093353	0.684341561
T19093	81O	18.75	m	-0.493426184	-1.042245241
T19093	81O	18.75	m	-0.493426184	-1.042245241
T19028	8Q5	5.92	m	0.829281074	0.560770237
T19028	8Q5	5.92	m	0.829281074	0.560770237
T20052	04N	21.03	f	1.106569212	-1.97706471
T20052	04N	21.03	f	1.106569212	-1.97706471
T20052	04N	21.03	f	1.106569212	-1.97706471
T20052	04N	21.03	f	1.106569212	-1.97706471
T20062	04Z	17.15	m	-2.068157725	0.185210129
T20062	04Z	17.15	m	-2.068157725	0.185210129
T20062	04Z	17.15	m	-2.068157725	0.185210129
T20062	04Z	17.15	m	-2.068157725	0.185210129
T20048	0C6	15.29	f	0.451643146	-1.228930753
T20048	0C6	15.29	f	0.451643146	-1.228930753
T20071	0G9	12.4	m	0.107561609	0.540522783
T20071	0G9	12.4	m	0.107561609	0.540522783
T20071	0G9	12.4	m	0.107561609	0.540522783
T20071	0G9	12.4	m	0.107561609	0.540522783
T20041	0I5	12.49	f	3.334239108	-1.604399112
T20041	0I5	12.49	f	3.334239108	-1.604399112
T20041	0I5	12.49	f	3.334239108	-1.604399112
T20041	0I5	12.49	f	3.334239108	-1.604399112
T20027	0I6	12.25	f	1.631227238	2.217304699
T20027	0I6	12.25	f	1.631227238	2.217304699
T20027	0I6	12.25	f	1.631227238	2.217304699
T20027	0I6	12.25	f	1.631227238	2.217304699
T20133	0J4	11.55	m	1.909562746	0.564784029
T20133	0J4	11.55	m	1.909562746	0.564784029
T20133	0J4	11.55	m	1.909562746	0.564784029
T20133	0J4	11.55	m	1.909562746	0.564784029
T20023	0L1	10.52	m	-0.130694388	-1.492790986
T20023	0L1	10.52	m	-0.130694388	-1.492790986
T20023	0L1	10.52	m	-0.130694388	-1.492790986
T20023	0L1	10.52	m	-0.130694388	-1.492790986
T20085	0P0	8.57	m	0.13127137	-0.163474161
T20085	0P0	8.57	m	0.13127137	-0.163474161
T20004	0P8	8.56	m	1.930498094	1.448128344
T20004	0P8	8.56	m	1.930498094	1.448128344
T20004	0P8	8.56	m	1.930498094	1.448128344
T20004	0P8	8.56	m	1.930498094	1.448128344
T20029	0R8	7.69	m	1.962920529	-0.362579485
T20029	0R8	7.69	m	1.962920529	-0.362579485
T20029	0R8	7.69	m	1.962920529	-0.362579485
T20029	0R8	7.69	m	1.962920529	-0.362579485
T20078	11Z	17.39	m	2.398245004	-1.182172439
T20078	11Z	17.39	m	2.398245004	-1.182172439
T20078	11Z	17.39	m	2.398245004	-1.182172439
T20078	11Z	17.39	m	2.398245004	-1.182172439
T20074	12Z	17.34	m	-0.081179315	0.544661267
T20074	12Z	17.34	m	-0.081179315	0.544661267
T20074	12Z	17.34	m	-0.081179315	0.544661267
T20074	12Z	17.34	m	-0.081179315	0.544661267
T20015	18Z	17.13	m	3.024679174	-1.100589867
T20015	18Z	17.13	m	3.024679174	-1.100589867
T20015	18Z	17.13	m	3.024679174	-1.100589867
T20015	18Z	17.13	m	3.024679174	-1.100589867
T20010	1A3	16.36	f	1.213092113	2.125260636
T20010	1A3	16.36	f	1.213092113	2.125260636
T20087	1G0	12.46	f	2.211721913	-2.18341297
T20087	1G0	12.46	f	2.211721913	-2.18341297
T20087	1G0	12.46	f	2.211721913	-2.18341297
T20087	1G0	12.46	f	2.211721913	-2.18341297
T20129	1G1	12.42	f	-0.236700486	-1.101122677
T20129	1G1	12.42	f	-0.236700486	-1.101122677
T20129	1G1	12.42	f	-0.236700486	-1.101122677
T20129	1G1	12.42	f	-0.236700486	-1.101122677
T20128	1I6	11.4	f	0.812268097	0.438633278
T20128	1I6	11.4	f	0.812268097	0.438633278
T20128	1I6	11.4	f	0.812268097	0.438633278
T20128	1I6	11.4	f	0.812268097	0.438633278
T20072	1J0	11.35	m	0.315289218	-0.141263879
T20072	1J0	11.35	m	0.315289218	-0.141263879
T20072	1J0	11.35	m	0.315289218	-0.141263879
T20072	1J0	11.35	m	0.315289218	-0.141263879
T20067	1L5	10.45	f	1.502645184	-1.152453349
T20067	1L5	10.45	f	1.502645184	-1.152453349
T20067	1L5	10.45	f	1.502645184	-1.152453349
T20067	1L5	10.45	f	1.502645184	-1.152453349
T20047	1R7	7.7	m	-0.617628914	-1.27800467
T20047	1R7	7.7	m	-0.617628914	-1.27800467
T20047	1R7	7.7	m	-0.617628914	-1.27800467
T20047	1R7	7.7	m	-0.617628914	-1.27800467
T20110	2A5	16	f	-1.68942283	-0.735788097
T20110	2A5	16	f	-1.68942283	-0.735788097
T20110	2A5	16	f	-1.68942283	-0.735788097
T20110	2A5	16	f	-1.68942283	-0.735788097
T20050	2A7	16.53	f	2.621579954	0.151934388
T20050	2A7	16.53	f	2.621579954	0.151934388
T20050	2A7	16.53	f	2.621579954	0.151934388
T20050	2A7	16.53	f	2.621579954	0.151934388
T20018	2C9	15.44	m	3.907837442	3.542909548
T20018	2C9	15.44	m	3.907837442	3.542909548
T20018	2C9	15.44	m	3.907837442	3.542909548
T20018	2C9	15.44	m	3.907837442	3.542909548
T20028	2I2	11.46	m	2.157477567	-0.167722807
T20028	2I2	11.46	m	2.157477567	-0.167722807
T20028	2I2	11.46	m	2.157477567	-0.167722807
T20028	2I2	11.46	m	2.157477567	-0.167722807
T20005	2J2	11.58	f	2.525846538	-1.586090961
T20005	2J2	11.58	f	2.525846538	-1.586090961
T20005	2J2	11.58	f	2.525846538	-1.586090961
T20005	2J2	11.58	f	2.525846538	-1.586090961
T20144	2K1	10.32	f	0.836432995	-0.230953785
T20144	2K1	10.32	f	0.836432995	-0.230953785
T20125	2N8	9.52	m	1.36618496	-0.347779554
T20125	2N8	9.52	m	1.36618496	-0.347779554
T20031	2N9	9.64	m	0.669150594	-0.174215498
T20031	2N9	9.64	m	0.669150594	-0.174215498
T20031	2N9	9.64	m	0.669150594	-0.174215498
T20031	2N9	9.64	m	0.669150594	-0.174215498
T20061	30L	20.92	m	-1.853353462	-1.022527533
T20061	30L	20.92	m	-1.853353462	-1.022527533
T20061	30L	20.92	m	-1.853353462	-1.022527533
T20061	30L	20.92	m	-1.853353462	-1.022527533
T20039	30Z	17.47	m	1.035065436	-1.584341001
T20039	30Z	17.47	m	1.035065436	-1.584341001
T20039	30Z	17.47	m	1.035065436	-1.584341001
T20039	30Z	17.47	m	1.035065436	-1.584341001
T20040	36V	17.17	m	-0.326115814	-1.225419241
T20040	36V	17.17	m	-0.326115814	-1.225419241
T20040	36V	17.17	m	-0.326115814	-1.225419241
T20040	36V	17.17	m	-0.326115814	-1.225419241
T20024	37N	21.16	m	0.31047602	-1.440901361
T20024	37N	21.16	m	0.31047602	-1.440901361
T20024	37N	21.16	m	0.31047602	-1.440901361
T20024	37N	21.16	m	0.31047602	-1.440901361
T20135	3I9	11.47	m	1.990141347	-0.352784532
T20135	3I9	11.47	m	1.990141347	-0.352784532
T20135	3I9	11.47	m	1.990141347	-0.352784532
T20135	3I9	11.47	m	1.990141347	-0.352784532
T20079	3J8	11.41	m	-0.381040394	-0.577595417
T20079	3J8	11.41	m	-0.381040394	-0.577595417
T20079	3J8	11.41	m	-0.381040394	-0.577595417
T20079	3J8	11.41	m	-0.381040394	-0.577595417
T20139	3L1	10.51	m	1.406650418	2.325502289
T20139	3L1	10.51	m	1.406650418	2.325502289
T20139	3L1	10.51	m	1.406650418	2.325502289
T20139	3L1	10.51	m	1.406650418	2.325502289
T20102	3L2	10.51	m	1.030429676	-0.308806609
T20102	3L2	10.51	m	1.030429676	-0.308806609
T20102	3L2	10.51	m	1.030429676	-0.308806609
T20102	3L2	10.51	m	1.030429676	-0.308806609
T20107	3M2	9.65	m	-3.047585129	-0.614583247
T20107	3M2	9.65	m	-3.047585129	-0.614583247
T20107	3M2	9.65	m	-3.047585129	-0.614583247
T20107	3M2	9.65	m	-3.047585129	-0.614583247
T20014	3S3	7.51	f	3.256474395	-1.116016933
T20014	3S3	7.51	f	3.256474395	-1.116016933
T20014	3S3	7.51	f	3.256474395	-1.116016933
T20014	3S3	7.51	f	3.256474395	-1.116016933
T20093	43V	17.3	m	1.631014929	3.673079078
T20093	43V	17.3	m	1.631014929	3.673079078
T20093	43V	17.3	m	1.631014929	3.673079078
T20093	43V	17.3	m	1.631014929	3.673079078
T20075	44T	18.27	m	1.140226799	-1.753286149
T20075	44T	18.27	m	1.140226799	-1.753286149
T20075	44T	18.27	m	1.140226799	-1.753286149
T20075	44T	18.27	m	1.140226799	-1.753286149
T20076	48L	21.28	m	1.347781812	-1.03188454
T20076	48L	21.28	m	1.347781812	-1.03188454
T20076	48L	21.28	m	1.347781812	-1.03188454
T20076	48L	21.28	m	1.347781812	-1.03188454
T20097	4K7	10.43	m	-1.45562729	-1.594354922
T20097	4K7	10.43	m	-1.45562729	-1.594354922
T20097	4K7	10.43	m	-1.45562729	-1.594354922
T20097	4K7	10.43	m	-1.45562729	-1.594354922
T20077	4M1	9.54	m	1.421280469	-1.428167339
T20077	4M1	9.54	m	1.421280469	-1.428167339
T20077	4M1	9.54	m	1.421280469	-1.428167339
T20077	4M1	9.54	m	1.421280469	-1.428167339
T20066	4M3	9.62	m	1.897155675	-0.201662899
T20066	4M3	9.62	m	1.897155675	-0.201662899
T20066	4M3	9.62	m	1.897155675	-0.201662899
T20066	4M3	9.62	m	1.897155675	-0.201662899
T20016	4S5	7.31	m	1.850132547	-1.386421444
T20016	4S5	7.31	m	1.850132547	-1.386421444
T20016	4S5	7.31	m	1.850132547	-1.386421444
T20016	4S5	7.31	m	1.850132547	-1.386421444
T20053	50I	23.32	f	-1.119620622	1.215962269
T20053	50I	23.32	f	-1.119620622	1.215962269
T20053	50I	23.32	f	-1.119620622	1.215962269
T20053	50I	23.32	f	-1.119620622	1.215962269
T20082	52P	20.3	f	1.136450272	-1.650804384
T20082	52P	20.3	f	1.136450272	-1.650804384
T20082	52P	20.3	f	1.136450272	-1.650804384
T20082	52P	20.3	f	1.136450272	-1.650804384
T20120	52Z	16.45	f	1.179552524	-1.187044579
T20008	53E	25.14	f	-3.217409029	4.598984773
T20008	53E	25.14	f	-3.217409029	4.598984773
T20008	53E	25.14	f	-3.217409029	4.598984773
T20008	53E	25.14	f	-3.217409029	4.598984773
T20063	59A	28.35	f	0.110287215	-2.134176167
T20063	59A	28.35	f	0.110287215	-2.134176167
T20063	59A	28.35	f	0.110287215	-2.134176167
T20063	59A	28.35	f	0.110287215	-2.134176167
T20081	5B2	15.34	m	1.789396045	-0.825253494
T20081	5B2	15.34	m	1.789396045	-0.825253494
T20081	5B2	15.34	m	1.789396045	-0.825253494
T20081	5B2	15.34	m	1.789396045	-0.825253494
T20057	5C0	15.41	f	0.533020767	2.379451211
