sample	sex	age	cd3tcells	bcells	nkcells	cd20hladrpos	cd8tregs	cd4tcells	cd8tcells	tregs	cd16pos	cd14cd16pos	cd14pos	cd16hladrpos	cd14cd16hladrpos	cd14hladrpos
4M1	m	7.92	61.9	36.7	1.42	35.4	1.41	29.7	26.4	4.9	9.51	4	86.5	3.99	1.78	94.2
04N	f	19.42	69.9	27.5	2.56	19.6	1.5	36.1	29.2	9.07	9.42	10.1	80.5	7.73	16.7	75.6
40L	f	19.67	49.5	28.1	22.4	25.4	1.17	29.4	15.2	7.37	44.4	33.3	22.2	37.6	51.9	10.5
4Q9	m	5.92	38.7	41.8	19.5	37.2	1.44	18.1	16.8	2.96	39.6	14.9	45.6	28.9	21.4	49.7
04T	m	16.75	54.4	26.3	19.3	22.8	1.49	27.5	19.2	3.45	10.6	7.21	82.2	17.4	14.1	68.4
04Z	m	15.5	36.9	31.5	31.5	29.5	0.82	23.9	10.2	4.43	40.1	25.8	34.1	47.7	36.5	15.8
59A	f	26.75	47.7	40.3	12	32.5	1.45	23.3	19.4	3.9	14.5	6.08	79.4	10.6	9.04	80.4
5C0	f	13.75	49.4	30.9	19.8	23	1.62	35.1	10.9	3.25	17.9	26.9	55.1	34.5	44.7	20.9
5G3	m	10.92	67	29.8	3.21	27.9	1.47	31.2	30.9	3.22	36.9	10.9	52.2	29.8	11.7	58.5
5K8	m	8.83	46	50.4	3.55	47.3	1.25	26.8	12.7	5.77	35.2	2.22	62.6	3.63	1.3	95.1
5L7	f	8.92	63.1	22.6	14.3	21.5	1.48	31.8	26.3	3.94	7.03	6.19	86.8	15	6.3	78.7
50I INF	m	0.58	49.7	48.2	2.2	46.8	0.45	35.7	11	2.57	7.62	6.12	86.3	4.59	9	86.4
50I	f	21.67	58.1	29.7	12.2	21.4	1.83	30.9	21.3	2.92	12.3	10.5	77.2	13.6	33.4	53
5P3	m	6.75	44.8	38.1	17.1	35.7	0.69	22.5	18.3	3.29	27.1	10.5	62.4	27	28.8	44.2
5Q8 INF	f	0.58	56.4	41.4	2.19	39	0.5	38.8	13	3.55	15.6	2.33	82.1	13.7	3.31	82.9
5Q8 	f	5.83	59.8	32.1	8.05	22	0.77	36.8	15.9	4.46	6.08	5.33	88.6	9.79	16.7	73.5
5R6	m	6.08	47.5	36.1	16.4	34.8	1.86	31.5	11.5	4.42	21.5	9.94	68.6	14	8.77	77.3
6B8	m	13.75	54.3	26.5	19.2	21.7	1.25	23.2	12.5	3.28	5.82	1.42	92.8	12.2	3.68	84.2
6C9	f	13.42	49.7	42.2	8.1	37.7	0.77	25.4	19.7	3.83	31.1	6.62	62.3	23.3	13.1	63.5
6N0  	m	7.92	40.4	35.6	24	34.5	1.55	19.9	12.1	1.67	12.8	40.4	46.8	28.1	39.4	32.4
6P5	m	6.92	40.3	40.1	19.6	36.7	2.16	22.7	13.8	3.42	36.7	26.5	36.7	37.4	30	32.6
6Q2 INF	f	0.33	61.2	37.6	1.15	36.7	0.58	46	11.9	1.98	17.3	6.16	76.5	8.34	8.04	83.6
6Q2 	f	6	58.6	31.8	9.53	26.4	1.09	31.1	22.3	3.98	9.25	7.35	83.4	6.51	9.15	84.3
6Q5	m	6.08	47.8	34.9	17.2	30.9	0.51	31.7	10.9	7.32	16.4	5.78	77.8	19.3	7.05	73.6
7B2	m	13.83	68.9	20.1	11	19.1	1.03	28.1	36.1	2.73	24.2	11.3	64.6	20.2	19.9	59.9
7J8 INF	m	0.67	59.9	31.3	8.06	30.6	1.25	40.3	15	4.1	11.8	10.6	77.6	16.8	21.1	62
7J8	f	7.92	44.8	27.7	28.1	25.6	1.3	29	12.8	6.2	9.55	9.1	81.3	15.8	43.7	40.5
7K8 INF	f	0.42	49.3	26.5	24.2	25	0.22	35.4	7.35	2.52	25.2	30.8	44	34.1	51.2	14.7
7K8  	f	8.92	51.6	36	12.4	35.5	1.04	31.4	16	5.87	13.3	4.25	82.4	18.2	9.38	72.5
7P0	m	6.92	51.4	22.9	25.7	21	0.77	25	20.8	3.03	10.2	7.41	82.4	13.1	10.5	76.4
73S	m	16.75	82	15.3	2.75	14.2	1.55	50.2	26	10.2	27.9	12.6	59.6	19.9	17.4	62.6
8A7 	m	14.75	48.6	48.6	3.67	45.6	0.76	25.7	19.9	5.26	6.07	5.06	88.9	9.15	11.2	79.6
8C0	m	12.83	48.8	35	16.2	32.7	0.71	28.1	17.2	6.6	25	16.2	58.8	23.2	12.4	64.4
8D2	m	12.58	78.2	16.7	5.06	12.6	0.86	32.4	40.6	5.95	4.16	13.8	82.1	11.7	15.5	72.9
8H0	m	10.83	72.8	24.2	3.09	20.6	1.54	41.7	20.8	11.7	5.83	2.85	91.3	2.19	5.89	91.9
8K1	m	8.83	40.3	41.2	18.4	40.6	1.3	24.4	12.6	5.28	5.59	1.63	92.8	17.1	8.7	74.2
8N3	f	7.83	43.6	33.9	22.5	31.6	1.11	25.9	12.9	4.28	13.7	6.96	79.3	13.2	6.49	80.3
8P8	f	6.92	55.4	38.2	6.43	29.2	1.84	35.5	15.7	7.15	18.3	8.64	73.1	33.3	13.6	53.1
8Q5	m	5.92	64.7	25.2	10.1	21.6	1.15	41.2	18	3.98	30.3	17	52.7	22.5	16.1	61.4
8R5	f	5.83	48.2	29	22.9	27.2	1.76	25	20.2	4.12	20.9	6.26	72.8	30.9	28.6	40.5
9C1	f	12.83	54.8	29.9	20.7	24.5	3.16	29.1	17.6	5.82	26.7	32.2	41.2	15.6	43	41.5
9D8	f	12.83	50.8	43	6.21	24.3	1.24	30.8	15.1	5.91	9.57	5.99	84.4	17.3	9.72	73
9H7 INF	f	0.58	54.9	41.9	3.21	40.9	0.44	39.6	11.5	2.7	27.8	15.3	56.8	29.8	22	48.1
9H7 	f	10.83	75.7	18	6.37	13.9	1.7	46.1	23.5	3.1	14.2	6.31	79.4	18.7	10.7	70.6
9D1	m	12.83	34.8	39.7	25.5	35.4	1.24	19.7	12.6	2.86	37.7	34.9	27.4	39.6	41.7	18.8
12Z	m	15.67	52.1	42.4	5.48	22.1	1.31	26.6	20.9	4.54	3.65	5.53	90.8	3.97	11	85
17K	m	20.75	51	26.5	22.5	25	1.22	22.5	24.5	5.04	50.8	13.1	36.1	49.4	16.8	33.8
28G	f	22.58	62.6	34	3.49	29.1	1.04	35.4	21.3	9.5	5.35	6.54	88.1	4.77	15.3	79.9
28J	f	21.42	53.3	18.3	28.3	17.5	0.8	32.1	13.1	9.08	18.4	36	45.6	30.9	59.6	9.46
33T	m	16.67	52.4	33.7	13.8	30.3	1.43	29	16.8	5.14	21.9	5.73	72.3	8.09	8.74	83.2
43V	m	15.67	57.3	23.2	19.5	20.4	0.88	22	31.5	3.54	19.5	52.2	28.3	29.4	58	12.6
52P	f	18.67	73.8	16	10.2	15.3	3.56	34.8	32.4	10.6	11.7	24.9	63.3	22.1	20	57.9
61R	m	17.67	83.6	15.1	1.23	14.5	2.88	46.2	31.5	7.38	3.93	5.86	90.2	2.58	5.88	91.5
63V INF	f	0.5	27.9	70.5	1.6	55.9	0.45	19.1	4.94	2.31	15	5.29	79.7	14	9.76	76.2
63V	f	15.75	48.6	35.4	17	27.2	1.13	28.5	15.7	7.76	18.5	31.5	50	48.8	15.6	35.6
64P	f	18.67	55.4	25.6	19	19	0.61	31.5	18.6	4.18	22.9	37.8	39.3	29	57.8	13.2
73V	m	15.75	69.8	22.5	7.71	16.8	1.22	34.3	31.3	7.94	5.15	5.32	89.5	6.47	20	73.6
77I	m	21.58	60.1	28.5	11.3	17	2.9	31.1	18	7.37	10.7	3.17	86.1	4.66	2.5	92.8
78I	f	21.67	39.7	48.5	11.7	45.6	0.85	28.6	8.14	7.01	5.22	0.65	94.1	2.76	2.87	94.4
79Z	f	14.75	74.5	22.4	3.11	20.5	0.75	36.8	32.9	3.36	20	13	66.9	17.6	9.1	73.3
81O	m	18.75	51.8	40.1	8.03	36.8	1.45	31.8	15.4	6.31	5.06	2.12	92.8	6.09	1.83	92.1
82L	f	19.5	67.5	17.7	14.8	16.7	0.75	33	20.4	6.34	22.6	20.8	56.6	53.5	42.9	3.66
96B	m	25.58	52.9	44.7	2.37	40.7	1.49	28.8	17.3	5.6	15.3	5.82	78.9	11.6	6.29	82.1
98T	f	15.58	68	28.8	3.22	21.4	1.37	39	23.2	8.03	13.5	4.43	82.1	17.8	8.48	73.8
0A4 INF	m	0.5	20.3	78.9	0.87	64.7	0.057	12.9	4	1.34	7.98	2.69	89.3	5.77	2.55	91.7
0A4	f	20.67	64.6	35.4	0.03	30	0.82	31.3	27	3.7	11.6	3.06	85.3	0.24	0.048	99.7
0C6 INF	m	0.5	35.1	64	0.85	54.1	0.11	25.6	7.21	2.1	9.63	1.94	88.4	11.3	1.4	87.3
0C6	f	14.92	50.9	49	0.068	37.4	0.72	21.4	22.5	1.58	10.7	5.21	84.1	1.22	0.89	97.9
0I5 INF	f	0.5	37	61.8	1.23	53.3	0.057	25.6	7.59	1.07	14.2	6.42	79.4	8.77	1.19	90
0I5	f	12.08	76.3	29.2	0.043	25	0	40.1	29.6	2.63	15.2	1.71	83.1	0.93	0.04	99
0I6	f	11.83	55.8	30	14.2	26.8	0.3	25.5	24.4	2.58	56.1	7.62	36.3	45.4	9.98	44.6
0L1	m	10.08	46.5	50	3.47	42.4	0.48	26.4	15.5	3.55	17.8	5.42	76.8	1.47	0.27	98.3
0P8	m	8.08	59.4	33.8	6.76	23.9	0.21	19.1	35.3	1.07	33.7	28.1	38.2	22.4	17.3	60.4
0R8	m	7.25	61.1	37	1.94	30.4	0.4	23.2	31.1	1.69	11	3.27	85.7	9.89	2.83	87.3
1A3 INF	f	0.5	32.2	67	0.76	54.3	0.084	24.6	4.69	1.27	16.5	3.19	80.3	13.5	1.99	84.5
1A3	f	15.92	52.7	31.9	15.4	25.9	0.47	24	22.2	2.05	25.5	31.7	42.7	23.6	29.3	47.1
1R7	m	7.33	43.6	55.5	0.9	47.2	0.36	20.6	20.3	1.62	5.55	0.45	94	2.04	0.041	97.9
2C9	m	15	76.1	13.4	10.5	11	0.66	37.3	27.2	3.37	45.8	41.7	12.5	48	46.1	5.88
2I2	m	11	62.8	34.5	2.73	29	0.37	29.6	27.1	2.57	16.5	6.57	77	15.6	6.64	77.8
2J2	f	11.08	67.9	32.1	0.06	24	0.31	37.9	25.1	1.65	9.27	7.79	82.9	0.4	0.37	99.2
2N9	m	9.17	54.3	42.7	3.01	35.3	0.34	20.3	19.8	2.33	30.4	7.26	62.4	13.5	5.21	81.3
3S3	f	7	70.6	27.9	1.51	23.1	0.83	42	23.3	4.53	14.7	9.14	76.1	10.2	5.82	84
4C3	m	14.92	32	67.9	0.11	39.1	0.21	19.1	9.93	1.07	2.31	1.35	96.3	0.12	0.05	99.8
4S5	m	6.83	62.2	36.2	1.67	28.7	0.39	35.4	21.7	2.15	9.75	3.6	86.6	2.95	1.41	95.6
5D9	f	14	43.7	55.5	0.81	42.6	0.5	32.4	8.42	4.6	5.16	2.41	92.4	2.14	0.48	97.4
5Q0	m	8.17	42.7	53	4.22	36	0.2	24.9	12.7	1.62	18.9	6.92	74.2	15.9	3.74	80.4
5G3	m	12.08	48.9	51	0.091	45.5	0.28	18.5	23.7	2.04	21.6	6.98	71.4	1.74	0.46	97.8
6N0	m	9.17	42	56.8	1.2	44	0.46	22.2	16.7	1.49	8.99	15.8	75.2	3.51	7.28	89.2
6P5	m	8.08	50	49.8	0.18	34.4	0.15	29.3	15.7	1.41	13	10.1	76.9	4.03	3.27	92.7
6Q5	m	7.25	51.8	48.1	0.11	43.4	0.32	39.6	9.36	3.64	3.49	2.03	94.5	0.77	0.24	99
7G1	m	12.08	44.4	55.5	0.14	48.7	0.45	27.4	13.8	3.06	3.32	0.79	95.9	0.72	0.41	98.9
7M3	m	9.08	67.7	30.1	2.2	21.8	0.45	39	21.7	4.56	8.54	6.11	85.4	8.36	6.25	85.4
8D2	m	13.83	66.6	23.9	9.53	19.7	0.78	23.3	35.1	2.04	24.5	7.62	67.8	34.5	3.42	62.1
8D6	m	14	48.7	50.4	0.87	46.6	0.57	12.9	31.2	1.98	22	11.9	66.1	14.3	5.95	79.8
8.00E+08	f	13	46.8	52.9	0.33	40.6	0.51	25.9	14.4	2.17	40.3	14.8	44.9	11	4.92	84
8K1	m	10	54.2	40.4	5.37	0	0	28.6	21.4	0	18.4	8.54	73	21	4.01	75
9D1	m	14	34.7	48.3	17	40.1	0.21	16.2	16.2	1.8	39.4	29.6	30.9	43.5	14.2	42.3
17K	m	21.92	58.9	32.1	8.97	24.5	0.32	26.9	29	2.59	14.5	11	74.5	10.2	3.76	86
18Z	m	16.67	70.2	29.4	0.43	23.7	0.35	29.7	31.4	2.55	7.14	2.45	90.4	1.94	0.33	97.7
30Z	m	17.08	57.9	39.3	2.78	35	0.39	41.1	14.3	2.72	16.5	6.15	77.4	4.76	4.92	90.3
